OBJECTID,JURSCODE,GEOID20,POPULATION_TOTAL,CHILD_POPULATION_TOTAL,CHILD_POV_TOTAL,CHILD_POV_PCT,SCHOOL_BND_INT_TOTAL,SCHOOL_BND_INT_CPG_TOTAL,NOTES,CALC_SUM,CALC_PCT,Shape__Area,Shape__Length
752,MONT,24031703202,6492,1747,51.0,2.9,12.0,,(+/-) 3.2,,,4130150.400392675,11391.321021696134
753,MONT,24031700306,8045,2288,39.0,1.7,10.0,,(+/-) 2.8,,,3072037.77755642,7194.057663687417
754,MONT,24031704403,1434,164,0.0,0.0,7.0,,(+/-) 21.4,,,250414.475852435,2626.0888793518125
755,MONT,24031700820,3471,900,201.0,22.3,7.0,,(+/-) 10.2,,,849688.432273205,4192.347929005158
756,MONT,24031701007,3680,683,10.0,1.4,16.0,,(+/-) 7.3,,,2445510.345174865,7736.882834764872
757,MONT,24031700901,4963,283,0.0,0.0,8.0,,(+/-) 13.2,,,1695853.40662577,7693.540652160054
758,MONT,24031705902,4295,1101,28.0,2.5,6.0,,(+/-) 3.1,,,3665047.117497205,8833.973794086944
759,MONT,24031701005,3290,819,33.0,4.0,4.0,,(+/-) 4,,,1892091.01269059,6441.702035402252
760,MONT,24031703702,4445,937,190.0,20.3,13.0,,(+/-) 17.5,,,1242327.14932213,5210.50163677219
761,MONT,24031703800,4230,773,91.0,11.8,9.0,,(+/-) 10.4,,,1215099.64966944,5356.729807094051
762,MONT,24031701427,3108,883,0.0,0.0,4.0,,(+/-) 4.4,,,4831868.648342235,17153.531499861452
763,MONT,24031701304,6251,1699,200.0,11.8,7.0,,(+/-) 10.5,,,7351534.895049265,12045.766946892652
764,MONT,24031703404,3657,816,180.0,22.1,11.0,1.0,(+/-) 15.2,,,572723.44640312,3208.1303881799568
765,MONT,24031703223,6307,1547,0.0,0.0,12.0,,(+/-) 2.6,,,4695312.622401305,11071.72025749528
